aX,aY,aZ,gX,gY,gZ
0.245,0.04,0.93,-35.583,4.15,-18.127
0.304,0.059,0.881,-28.809,-0.305,-18.738
0.179,0.018,0.9,-21.362,-14.099,-28.503
0.114,0.037,0.898,-14.954,-12.939,-22.888
0.166,-0.018,0.883,-7.324,-5.859,-20.691
0.166,-0.059,0.902,-5.432,-4.944,-27.344
0.153,-0.081,0.938,-6.653,-5.859,-30.945
0.124,-0.114,0.978,-7.996,-7.141,-33.447
0.138,-0.127,1.003,-9.644,-5.493,-31.799
0.138,-0.15,1.029,-10.254,-5.005,-28.32
0.152,-0.16,1.026,-10.132,-3.357,-26.917
0.167,-0.188,1.028,-9.46,-3.906,-26.367
0.147,-0.174,1.03,-9.766,-5.31,-24.597
0.139,-0.133,1.033,-10.559,-5.188,-22.888
0.147,-0.116,1.034,-12.146,-5.92,-20.02
0.123,-0.143,1.037,-15.198,-7.141,-17.212
0.106,-0.179,1.032,-17.273,-4.272,-15.076
0.132,-0.203,1.009,-16.663,0.122,-15.93
0.18,-0.211,0.994,-15.869,2.38,-15.564
0.16,-0.222,0.997,-14.893,1.221,-11.353
0.158,-0.222,0.983,-13.245,1.831,-7.141
0.178,-0.217,0.959,-11.169,2.38,-4.822
0.165,-0.188,0.942,-9.277,1.892,-3.235
0.152,-0.171,0.936,-6.653,2.502,0
0.164,-0.151,0.929,-3.418,2.93,2.747
0.151,-0.125,0.922,0.122,2.686,4.761
0.12,-0.128,0.905,2.686,3.601,5.981
0.158,-0.105,0.895,4.15,5.859,5.249
0.177,-0.106,0.904,3.235,3.662,7.141
0.147,-0.095,0.93,0.183,-0.732,8.789
0.126,-0.055,0.954,-1.953,-2.93,9.216
0.129,-0.027,0.969,-2.075,-2.747,9.521
0.131,-0.041,0.985,-3.052,-2.441,8.728
0.131,-0.057,1,-8.362,-2.991,7.507
0.136,-0.038,1.011,-14.526,-2.686,6.165
0.141,-0.007,1.016,-17.822,-2.502,5.31
0.139,0.023,1.018,-17.883,-2.014,4.395
0.143,0.036,1.007,-15.015,-0.854,3.174
0.154,0.031,0.987,-10.803,0,2.38
0.164,0.027,0.966,-6.958,0.305,1.465
0.176,0.026,0.95,-3.235,0.427,0.977
0.188,0.02,0.943,0.793,0.122,0.916
0.192,0.019,0.941,3.906,-0.61,0.366
0.192,-0.018,0.939,4.272,-1.831,-0.488
0.202,-0.047,0.936,0.488,-2.686,-1.404
0.203,-0.035,0.94,-3.113,-3.784,-1.587
0.199,-0.017,0.948,-5.676,-4.883,-1.587
0.197,-0.015,0.965,-6.531,-5.371,-1.648
0.194,-0.019,0.973,-5.676,-5.005,-1.465
0.191,-0.017,0.979,-4.211,-4.272,-1.404
0.189,-0.014,0.984,-1.526,-3.418,-1.038
0.184,-0.015,0.989,1.16,-2.563,-0.916
0.178,-0.019,1.003,4.15,-1.404,-0.854
0.169,-0.02,1.01,7.629,0.305,-0.427
0.169,-0.006,1.008,11.719,2.197,-0.183
0.166,0.003,1,16.602,3.906,0.244
0.163,-0.013,0.997,20.264,5.371,0.671
0.17,-0.032,0.991,22.583,6.958,1.282
0.174,-0.045,0.982,22.827,7.751,1.526
0.171,-0.039,0.967,21.118,7.446,0.671
0.151,-0.024,0.941,18.066,6.226,-0.427
0.143,-0.053,0.945,13,4.822,-0.061
0.158,-0.12,0.933,5.859,3.784,2.869
0.179,-0.169,0.914,-2.625,2.686,6.287
0.171,-0.177,0.908,-12.085,-0.488,7.69
0.154,-0.122,0.925,-17.639,-1.77,8.606
0.198,-0.071,0.954,-12.756,-2.686,10.498
0.18,-0.043,1.027,-0.916,-3.662,9.583
0.153,-0.056,1.051,10.559,-0.183,8.301
0.182,-0.093,1.062,19.531,4.211,7.935
0.169,-0.117,1.061,24.292,8.423,7.629
0.197,-0.126,1.048,24.353,13.428,7.263
0.212,-0.145,1.031,21.667,15.686,7.751
0.219,-0.145,1.016,16.846,15.808,8.24
0.213,-0.137,1.008,11.047,14.404,9.155
0.216,-0.122,1,5.859,13.794,9.888
0.216,-0.105,0.985,2.319,13.367,10.437
0.218,-0.099,0.976,-0.183,12.939,11.108
0.22,-0.09,0.976,-1.709,12.573,11.963
0.21,-0.068,0.953,-1.953,11.658,12.634
0.208,-0.058,0.926,-1.648,10.437,13.367
0.208,-0.062,0.914,-1.282,8.728,14.282
0.208,-0.062,0.919,-0.488,7.019,15.686
0.21,-0.064,0.939,0.854,5.615,16.296
0.199,-0.065,0.961,1.77,4.517,16.235
0.188,-0.071,0.969,2.93,4.761,15.625
0.187,-0.077,0.968,3.357,6.287,15.015
0.192,-0.085,0.964,3.296,7.629,14.526
0.192,-0.087,0.962,2.441,8.301,13.916
0.194,-0.071,0.947,1.587,8.545,13.428
0.193,-0.044,0.938,0.488,7.874,13.123
0.19,-0.032,0.934,-0.244,7.202,12.939
0.2,-0.036,0.941,0.427,7.324,13.794
0.222,-0.048,0.948,2.075,7.446,14.648
0.224,-0.044,0.952,3.784,5.92,13.977
0.219,-0.026,0.953,5.188,4.089,12.39
0.207,-0.018,0.966,6.531,2.808,11.23
0.204,-0.018,0.978,7.324,2.869,9.827
0.208,-0.022,0.979,7.08,3.662,7.935
0.216,-0.024,0.975,6.531,4.7,6.348
0.223,-0.026,0.971,6.165,5.371,5.066
0.227,-0.027,0.96,5.798,5.798,4.028
0.23,-0.022,0.95,5.615,5.676,2.991
0.234,-0.018,0.942,5.554,5.493,2.075
0.241,-0.015,0.948,5.249,5.371,1.16
0.244,-0.014,0.942,5.432,5.31,0.427
0.247,-0.023,0.935,5.188,4.333,0.183
0.246,-0.026,0.931,4.578,3.113,0.244
0.251,-0.022,0.929,4.272,2.441,0.61
0.262,-0.013,0.928,4.456,1.648,0.549
0.269,-0.009,0.934,4.761,0.427,0
0.443,-0.67,1.232,55.542,27.283,-22.217
0.423,-0.245,1.111,3.845,17.944,-29.846
0.306,0.014,1.064,-32.898,-0.854,-38.391
0.209,0.015,1.051,-47.668,-11.78,-39.856
0.203,-0.076,1.061,-50.598,-13.306,-39.673
0.217,-0.089,1.09,-50.659,-10.193,-37.781
0.208,-0.048,1.084,-48.889,-5.859,-36.133
0.218,0,1.057,-43.64,-2.563,-35.767
0.277,-0.033,1.019,-32.593,-2.93,-34.485
0.141,-0.073,1.015,-23.804,-8.423,-39.551
0.15,-0.08,0.982,-17.334,-1.953,-34.424
0.19,-0.144,0.951,-9.888,0.793,-32.227
0.172,-0.189,0.939,-7.202,-1.953,-34.912
0.139,-0.176,0.927,-6.958,-4.883,-34.363
0.118,-0.188,0.923,-5.859,-5.493,-30.64
0.114,-0.221,0.923,-5.798,-5.371,-29.236
0.125,-0.245,0.941,-5.798,-5.188,-26.917
0.122,-0.273,0.972,-5.31,-6.714,-24.597
0.064,-0.273,1,-4.517,-7.751,-22.583
0.071,-0.26,1.001,-2.93,-3.967,-21.118
0.068,-0.265,0.996,-1.648,-1.77,-19.775
0.093,-0.269,0.974,-1.709,-0.793,-16.602
0.081,-0.28,0.954,-2.319,-3.967,-11.902
0.027,-0.267,0.947,-2.38,-6.287,-9.827
0.056,-0.248,0.92,-2.136,-3.906,-9.155
0.067,-0.23,0.909,-2.197,-4.822,-7.629
0.041,-0.222,0.922,-2.38,-5.249,-4.395
0.075,-0.201,0.929,-1.221,-2.747,-2.563
0.084,-0.178,0.934,0.671,-3.052,-1.404
0.073,-0.171,0.944,1.465,-3.723,-2.319
0.068,-0.184,0.958,0.732,-4.211,-1.221
0.093,-0.187,0.969,-0.366,-3.357,-0.488
0.099,-0.184,0.985,-2.502,-4.944,0.244
0.089,-0.171,1.001,-5.066,-6.592,1.221
0.094,-0.155,1.001,-6.409,-7.446,2.014
0.104,-0.133,1,-6.653,-7.629,2.625
0.104,-0.113,0.996,-6.287,-7.935,2.93
0.102,-0.098,0.988,-5.188,-7.935,2.991
0.115,-0.084,0.987,-3.54,-7.69,3.784
0.107,-0.085,0.992,-2.502,-7.935,2.747
0.007,-0.086,1.004,-1.77,-5.31,1.221
0.13,-0.052,0.99,-0.122,5.859,0.122
0.166,-0.088,0.978,2.014,5.92,-1.099
0.129,-0.108,0.98,-0.61,3.906,-2.747
0.145,-0.098,0.973,-3.418,2.747,-3.052
0.155,-0.095,0.977,-5.127,1.038,-2.625
0.16,-0.087,0.984,-6.104,-0.671,-2.136
0.141,-0.09,0.989,-5.981,-1.526,-1.709
0.155,-0.088,0.98,-4.395,-0.549,-0.916
0.159,-0.083,0.975,-2.502,-0.488,-0.854
0.156,-0.082,0.977,-0.671,-0.366,-0.854
