aX,aY,aZ,gX,gY,gZ
0.316,1.721,0.237,84.839,4.456,-11.963
0.33,1.555,0.301,116.272,1.892,-30.579
0.316,1.324,0.404,133.057,-0.122,-44.556
0.307,1.085,0.512,135.803,-2.075,-56.091
0.318,0.863,0.621,125.122,-4.517,-64.819
0.309,0.696,0.711,110.962,-6.531,-70.679
0.29,0.559,0.814,92.651,-6.897,-75.867
0.331,0.599,0.859,75.134,-8.118,-81.604
0.369,0.594,0.824,71.472,-10.681,-86.365
0.399,0.486,0.745,78.979,-11.841,-87.341
0.454,0.332,0.632,90.393,-11.658,-85.022
0.467,0.068,0.637,95.886,-10.254,-79.285
0.498,-0.046,0.702,96.68,-10.376,-70.313
0.496,-0.147,0.76,100.525,-10.803,-61.218
0.456,-0.236,0.739,109.009,-7.08,-50.293
0.504,-0.144,0.622,118.835,4.15,-36.133
0.623,-0.119,0.487,119.507,14.648,-24.353
0.669,-0.245,0.549,95.52,10.315,-9.46
0.62,-0.4,0.718,48.34,-1.038,11.169
0.556,-0.404,0.817,-6.897,-8.301,31.738
0.503,-0.161,0.883,-59.875,-10.62,45.898
0.442,0.26,0.95,-95.947,-7.69,52.063
0.408,0.635,0.977,-106.689,-2.319,51.331
0.404,0.796,0.929,-93.933,4.272,48.462
0.427,0.726,0.83,-74.219,11.475,47.729
0.465,0.67,0.713,-61.401,16.907,47.668
0.505,0.722,0.6,-53.345,19.836,44.861
0.545,0.709,0.521,-42.969,19.531,40.1
0.56,0.694,0.449,-35.645,16.968,35.4
0.546,0.756,0.416,-34.668,12.085,30.884
0.54,0.792,0.421,-33.264,5.737,25.452
0.524,0.821,0.455,-32.166,0.061,20.935
0.494,0.857,0.491,-31.372,-4.089,16.113
0.47,0.898,0.517,-28.564,-6.897,10.925
0.452,0.926,0.549,-23.132,-9.094,4.822
0.417,0.907,0.585,-14.709,-10.315,-1.038
0.419,0.805,0.617,-5.066,-9.949,-4.761
0.425,0.684,0.649,0.671,-10.01,-6.836
0.434,0.614,0.666,1.282,-9.949,-8.911
0.44,0.557,0.672,-0.671,-10.132,-10.925
0.445,0.514,0.678,-4.395,-10.742,-12.085
0.454,0.485,0.685,-8.728,-11.169,-12.573
0.461,0.458,0.693,-11.292,-11.353,-12.329
0.455,0.443,0.698,-10.681,-11.047,-11.23
0.458,0.418,0.705,-8.362,-9.949,-9.338
0.471,0.418,0.716,-5.188,-8.667,-6.958
0.479,0.422,0.72,-0.488,-7.446,-4.944
0.479,0.428,0.725,3.845,-5.981,-2.991
0.473,0.446,0.727,6.775,-4.272,-1.221
0.467,0.469,0.721,7.935,-3.052,0.549
0.464,0.482,0.714,7.202,-1.587,2.197
0.465,0.51,0.702,4.578,-0.244,3.723
0.474,0.549,0.673,2.319,0.732,4.211
0.487,0.564,0.642,0.977,1.404,4.028
0.495,0.579,0.619,-0.244,1.587,4.272
0.495,0.597,0.604,-1.526,1.282,4.517
0.492,0.622,0.6,-2.014,0.732,4.578
0.493,0.642,0.611,-2.014,0.061,4.7
0.49,0.646,0.63,-1.221,-0.61,4.089
0.484,0.649,0.649,0.305,-1.16,3.662
0.475,0.65,0.661,1.648,-1.526,3.174
