aX,aY,aZ,gX,gY,gZ
0.811,0.573,-0.047,0.916,-0.732,0.427
0.81,0.577,-0.044,0.916,-0.549,0.122
0.811,0.579,-0.045,0.61,-0.427,0
0.816,0.579,-0.043,0.305,-0.549,-0.061
0.814,0.583,-0.045,0.244,-0.854,0.122
0.811,0.583,-0.046,0.427,-0.977,0.122
0.809,0.581,-0.044,0.305,-0.793,0.488
0.809,0.579,-0.04,0.366,-0.854,0.671
0.807,0.578,-0.04,0.305,-0.61,0.854
0.813,0.576,-0.04,0.061,-0.854,1.038
0.815,0.578,-0.041,0,-1.099,1.038
0.819,0.577,-0.042,0.305,-1.221,1.099
0.819,0.575,-0.04,0.183,-1.221,1.038
0.815,0.576,-0.044,-0.305,-1.099,0.732
0.816,0.576,-0.044,-0.183,-0.732,0.61
0.815,0.576,-0.045,-0.244,-0.488,0.549
0.815,0.576,-0.045,-0.549,-0.244,0.549
0.813,0.574,-0.041,-0.488,0.122,0.732
0.809,0.574,-0.041,-0.488,0.244,0.61
0.811,0.574,-0.044,-0.305,0.122,0.549
0.814,0.575,-0.041,-0.427,0.061,0.671
0.814,0.575,-0.041,-0.244,-0.061,0.793
0.816,0.575,-0.041,-0.244,-0.427,0.977
0.814,0.576,-0.041,-0.061,-0.61,1.282
0.814,0.575,-0.042,0,-0.671,1.16
0.817,0.574,-0.043,-0.061,-0.549,1.038
0.819,0.574,-0.042,0.061,-0.183,1.038
0.817,0.572,-0.043,0.183,-0.061,0.854
0.817,0.573,-0.044,0,-0.183,0.977
0.814,0.572,-0.045,0,-0.061,0.732
0.817,0.571,-0.047,0,0.244,0.427
0.814,0.572,-0.045,0.122,0.488,0.183
0.815,0.572,-0.048,-0.061,0.671,0.061
0.815,0.574,-0.046,0.427,0.732,0.305
0.813,0.577,-0.043,0.671,0.732,0.549
0.813,0.579,-0.042,0.549,0.549,0.732
0.805,0.58,-0.042,0.122,0.366,0.61
0.811,0.58,-0.042,-0.183,0.244,0.732
0.813,0.581,-0.044,-0.305,0,0.977
0.813,0.581,-0.044,-0.549,-0.183,1.099
0.81,0.577,-0.044,-0.732,-0.427,1.526
0.811,0.575,-0.045,-0.854,-0.671,1.892
0.812,0.576,-0.047,-0.793,-0.916,1.831
0.813,0.572,-0.045,-0.977,-0.671,1.709
0.812,0.572,-0.042,-0.732,-0.732,1.831
0.817,0.571,-0.044,-0.732,-0.61,1.77
0.819,0.573,-0.045,-0.61,-0.671,1.648
0.816,0.571,-0.046,-0.549,-0.549,1.587
0.81,0.571,-0.045,-0.061,-0.183,1.526
0.812,0.576,-0.046,0.183,0.122,1.16
0.816,0.577,-0.047,0.061,0.427,0.977
0.815,0.58,-0.047,0.183,0.61,0.732
0.811,0.58,-0.044,0.061,0.793,0.671
0.805,0.576,-0.04,-0.122,0.854,0.732
0.806,0.575,-0.038,-0.305,0.732,0.549
0.813,0.577,-0.042,-0.427,0.366,0.488
0.821,0.579,-0.041,-0.488,-0.122,0.549
0.825,0.581,-0.044,-0.061,-0.549,0.916
0.819,0.583,-0.045,0.244,-1.038,1.404
0.818,0.584,-0.047,0.61,-0.977,1.526
0.818,0.583,-0.049,0.61,-0.977,1.831
0.865,0.591,-0.062,3.601,0.854,3.601
0.844,0.584,-0.046,2.319,-0.122,4.028
0.805,0.572,-0.042,1.221,-2.93,5.066
0.795,0.571,-0.043,2.136,-5.371,5.981
0.822,0.575,-0.049,4.15,-5.859,6.958
0.825,0.584,-0.032,5.737,-4.944,6.958
0.805,0.56,-0.013,4.578,-3.967,5.554
0.786,0.552,-0.016,3.784,-4.333,4.272
0.807,0.548,-0.038,3.235,-4.944,2.563
0.82,0.553,-0.054,2.319,-4.15,0.732
0.817,0.562,-0.054,2.319,-2.563,-0.732
0.802,0.575,-0.048,2.319,-0.671,-2.38
0.8,0.578,-0.043,2.197,0.61,-3.906
0.809,0.58,-0.042,2.136,1.221,-3.967
0.789,0.585,-0.041,1.404,1.77,-3.723
0.796,0.584,-0.035,1.038,2.258,-2.93
0.798,0.585,-0.031,0.549,1.953,-1.709
0.803,0.588,-0.032,-0.183,0.854,-0.549
0.804,0.59,-0.033,-0.427,-0.732,1.099
0.811,0.59,-0.033,-0.244,-1.892,2.808
0.815,0.585,-0.036,-0.427,-3.113,4.333
0.818,0.581,-0.036,-1.099,-3.906,5.31
0.818,0.578,-0.042,-1.892,-4.028,5.493
0.817,0.576,-0.045,-2.502,-3.357,4.883
0.818,0.575,-0.044,-2.93,-2.319,3.845
0.819,0.574,-0.041,-2.747,-0.977,2.686
0.814,0.571,-0.043,-2.38,0.427,1.465
0.811,0.568,-0.045,-2.075,1.282,0.122
0.816,0.568,-0.049,-1.587,2.258,-1.099
0.814,0.569,-0.046,-0.732,2.808,-1.892
