aX,aY,aZ,gX,gY,gZ
0.139,-0.088,0.996,10.071,-8.362,-0.61
0.204,-0.09,1.012,5.066,-4.944,-1.099
0.215,-0.079,1.007,-0.793,-4.211,-0.427
0.194,-0.063,0.996,-4.639,-4.7,0.244
0.208,-0.038,0.973,-5.737,-3.784,0.793
0.205,-0.019,0.945,-5.737,-3.54,1.404
0.202,-0.002,0.934,-4.944,-3.296,1.343
0.194,0.017,0.938,-3.052,-3.418,0.793
0.184,0.017,0.91,-0.671,-3.967,-0.122
0.172,0.02,0.933,3.113,-5.31,-0.488
0.189,0.03,0.927,8.423,-5.676,-0.977
0.176,0.01,0.913,9.338,-7.263,-1.526
0.153,0.022,0.927,7.019,-9.277,-2.136
0.157,0.012,0.944,6.409,-10.498,-2.38
0.163,-0.031,0.964,6.836,-11.292,-2.014
0.16,-0.05,0.982,6.836,-12.268,-1.648
0.159,-0.046,0.999,7.202,-12.451,-1.953
0.172,-0.058,1.005,8.728,-11.902,-1.953
0.162,-0.083,1.002,9.644,-11.414,-1.465
0.155,-0.1,1.001,9.766,-9.766,-1.343
0.179,-0.122,1.003,9.888,-7.385,-0.854
0.188,-0.123,1.01,9.399,-6.47,0.061
0.176,-0.113,1.012,8.606,-6.531,0.916
0.169,-0.099,1.004,8.362,-5.92,1.343
0.165,-0.09,0.994,8.484,-4.578,2.075
0.159,-0.091,0.995,8.728,-3.418,2.686
0.16,-0.079,0.989,7.996,-2.502,3.235
0.157,-0.067,0.976,7.446,-2.014,3.296
0.156,-0.054,0.968,5.737,-1.221,2.991
0.16,-0.033,0.984,4.944,-0.977,2.502
0.164,-0.054,0.964,4.639,-0.488,2.93
0.161,-0.034,0.934,5.31,-1.221,2.197
0.156,-0.013,0.952,6.348,-2.625,1.099
0.155,-0.042,0.949,7.812,-3.113,0.854
0.155,-0.067,0.961,8.728,-3.662,0.793
0.151,-0.066,0.995,8.24,-4.272,0.549
0.147,-0.082,1.013,5.92,-3.967,0.549
0.152,-0.086,1.015,3.479,-3.235,0.732
0.157,-0.082,1.011,1.648,-2.136,0.854
0.155,-0.075,1.007,0.183,-0.916,0.916
0.156,-0.075,0.999,0.122,0.244,0.977
0.156,-0.08,0.984,1.038,0.977,0.916
0.155,-0.078,0.977,1.526,1.465,0.549
0.154,-0.08,0.974,1.77,1.709,0.305
0.152,-0.086,0.97,1.953,1.77,0.488
0.154,-0.08,0.962,2.014,1.343,0.488
0.152,-0.072,0.96,2.502,0.793,0.488
0.149,-0.079,0.97,3.235,0.305,0.488
0.147,-0.093,0.983,2.625,0.122,0.488
0.15,-0.093,0.982,0.854,0.183,0.916
0.15,-0.083,0.982,-0.427,0,1.099
0.148,-0.071,0.983,-1.038,-0.366,1.404
0.132,-0.067,0.977,-0.427,-0.244,1.831
0.17,-0.072,0.969,0.732,0.916,1.648
0.163,-0.077,0.969,0.305,0.305,2.014
0.155,-0.075,0.97,-0.61,-0.793,1.587
0.158,-0.074,0.97,-0.549,-1.16,1.709
0.156,-0.065,0.971,-0.488,-1.16,1.953
0.16,-0.057,0.967,0.366,-1.099,2.075
0.162,-0.058,0.964,1.77,-0.977,1.892
0.16,-0.068,0.969,2.869,-0.793,1.343
0.158,-0.08,0.974,2.258,-0.671,1.038
0.161,-0.073,0.972,1.831,-0.671,0.854
0.158,-0.072,0.974,1.465,-0.671,0.61
0.157,-0.071,0.974,1.587,-0.488,0.61
0.155,-0.07,0.978,2.075,-0.244,0.366
0.153,-0.085,0.983,1.953,-0.061,0.183
0.156,-0.094,0.981,0.305,0.366,0.305
0.157,-0.085,0.972,-1.221,0.549,0.61
0.159,-0.076,0.967,-1.831,0.671,0.916
0.158,-0.066,0.969,-1.465,0.671,0.977
0.156,-0.066,0.97,0.061,0.793,0.977
0.154,-0.072,0.971,1.526,0.671,0.854
0.153,-0.076,0.97,2.38,0.427,0.793
0.153,-0.08,0.97,2.258,0.061,0.549
0.153,-0.082,0.973,1.648,-0.366,0.488
0.152,-0.085,0.979,1.343,-0.793,0.671
0.151,-0.088,0.979,1.282,-0.916,0.732
0.152,-0.086,0.98,1.465,-0.793,0.732
0.153,-0.091,0.98,1.526,-0.732,0.671
0.153,-0.096,0.98,1.099,-0.427,1.038
0.155,-0.092,0.981,0.244,-0.244,1.282
0.153,-0.082,0.98,-0.061,0,1.465
0.155,-0.074,0.976,0,0,1.892
0.156,-0.07,0.976,0.549,0,1.831
0.154,-0.074,0.976,0.916,0.366,1.709
0.155,-0.078,0.973,0.427,0.549,1.404
0.05,-0.716,1.922,55.786,2.686,-2.625
0.102,-0.528,1.647,15.076,21.667,4.333
0.202,-0.306,1.311,-23.376,32.043,5.493
0.278,-0.049,0.899,-40.833,38.513,8.85
0.379,0.029,0.638,-33.447,40.344,9.888
0.186,-0.05,0.608,-16.174,33.142,8.484
0.242,-0.102,0.659,-6.348,33.997,2.808
0.248,-0.107,0.75,-4.089,28.442,1.648
0.196,-0.202,0.877,-7.935,20.691,2.014
0.177,-0.144,0.923,-14.587,14.954,4.089
0.172,-0.122,0.927,-20.508,8.911,5.127
0.124,-0.08,0.9,-23.071,4.456,5.92
0.136,-0.127,0.876,-23.926,3.235,6.226
0.191,-0.134,0.883,-29.297,2.563,8.545
0.212,0.076,0.808,-36.865,-0.671,8.789
0.197,0.251,0.852,-38.574,-7.385,3.784
0.213,0.151,0.917,-30.273,-11.78,0.793
0.22,0.021,0.997,-20.447,-12.268,1.221
0.222,-0.006,1.036,-18.799,-10.62,0.916
0.235,0.086,1.036,-22.461,-9.705,-0.916
0.227,0.134,0.998,-20.996,-8.972,-3.235
0.218,0.072,0.969,-15.442,-7.507,-4.517
0.22,-0.02,0.971,-12.512,-6.47,-5.127
0.219,-0.042,1.043,-10.559,-5.493,-5.554
0.218,-0.134,1.045,-5.981,-3.357,-5.493
0.209,-0.14,1.02,-5.493,-0.977,-4.15
0.205,-0.051,1.029,-6.226,-0.244,-3.54
0.203,-0.065,1.011,-4.272,0.977,-2.686
0.205,-0.085,0.981,-1.221,2.869,-0.671
