aX,aY,aZ,gX,gY,gZ,gesture
0.338,-1.266,0.427,80.261,-37.109,34.18,1
0.335,-1.233,0.439,84.473,-34.241,41.26,1
0.338,-1.222,0.429,89.294,-30.945,48.218,1
0.356,-1.231,0.399,89.844,-29.236,53.955,1
0.351,-1.208,0.38,87.769,-28.809,59.265,1
0.347,-1.172,0.374,82.764,-28.503,64.087,1
0.351,-1.135,0.369,76.355,-29.297,67.627,1
0.357,-1.086,0.362,71.594,-31.067,70.801,1
0.346,-1.041,0.366,68.42,-33.142,73.364,1
0.335,-1.017,0.354,67.505,-34.607,75.073,1
0.342,-1.008,0.334,69.153,-34.729,77.332,1
0.336,-0.99,0.321,71.838,-34.912,78.796,1
0.329,-0.986,0.322,71.411,-35.583,79.407,1
0.339,-0.956,0.302,69.153,-35.828,79.407,1
0.35,-0.941,0.296,66.406,-36.56,78.308,1
0.353,-0.931,0.302,64.514,-37.17,76.477,1
0.347,-0.923,0.322,63.049,-37.415,74.646,1
0.344,-0.899,0.342,61.584,-37.598,72.571,1
0.332,-0.883,0.356,60.608,-38.147,70.618,1
0.344,-0.889,0.363,57.922,-38.94,67.81,1
0.343,-0.872,0.34,55.359,-39.856,65.674,1
0.354,-0.862,0.319,53.162,-40.1,64.392,1
0.36,-0.864,0.278,51.758,-40.039,63.293,1
0.364,-0.853,0.246,49.927,-39.551,62.5,1
0.364,-0.863,0.235,48.218,-39.307,62.012,1
0.368,-0.863,0.23,45.288,-38.757,60.669,1
0.387,-0.848,0.255,41.748,-37.659,58.167,1
0.369,-0.836,0.289,39.795,-37.476,56.396,1
0.361,-0.818,0.324,39.124,-36.804,55.359,1
0.346,-0.809,0.341,42.053,-34.18,54.565,1
0.36,-0.834,0.331,45.227,-30.457,54.26,1
0.377,-0.853,0.299,46.204,-27.771,53.467,1
0.376,-0.845,0.274,44.189,-26.672,52.795,1
0.392,-0.848,0.251,40.039,-26.306,52.673,1
0.401,-0.83,0.227,36.499,-26.184,52.368,1
0.4,-0.81,0.201,33.752,-26.245,51.27,1
0.404,-0.799,0.191,31.799,-25.635,50.232,1
0.411,-0.809,0.195,31.494,-24.536,49.866,1
0.419,-0.825,0.208,31.006,-23.926,48.096,1
0.434,-0.835,0.216,29.114,-23.193,46.448,1
0.433,-0.825,0.218,27.283,-22.217,45.898,1
0.441,-0.82,0.229,24.292,-21.545,44.678,1
0.443,-0.806,0.227,20.752,-21.118,43.64,1
0.445,-0.79,0.206,17.517,-21.179,42.114,1
0.434,-0.785,0.197,13.306,-21.362,40.894,1
0.453,-0.75,0.199,10.559,-21.301,39.612,1
0.45,-0.761,0.206,8.789,-21.423,37.842,1
0.452,-0.747,0.203,6.775,-21.362,35.461,1
0.466,-0.749,0.187,5.127,-21.301,33.264,1
0.475,-0.753,0.169,3.296,-21.362,30.945,1
0.478,-0.737,0.156,2.38,-21.362,28.992,1
0.49,-0.731,0.149,3.723,-21.057,26.978,1
0.483,-0.723,0.151,4.578,-20.447,24.414,1
0.492,-0.734,0.16,5.371,-20.081,21.851,1
0.501,-0.736,0.173,6.836,-19.165,19.836,1
0.5,-0.739,0.18,8.728,-17.578,17.639,1
0.511,-0.746,0.162,10.559,-15.93,15.869,1
0.519,-0.759,0.158,12.207,-15.015,14.587,1
0.526,-0.771,0.167,13.306,-14.526,13.062,1
0.532,-0.778,0.171,14.16,-13.977,11.353,1
0.533,-0.786,0.176,14.099,-13.855,9.644,1
0.551,-0.79,0.177,13.489,-13.672,8.606,1
0.539,-0.801,0.172,12.573,-13.367,9.583,1
0.556,-0.806,0.169,12.268,-13.123,8.972,1
0.559,-0.788,0.166,10.071,-12.329,6.287,1
0.557,-0.79,0.164,9.155,-12.085,5.188,1
0.556,-0.799,0.171,8.667,-11.597,4.7,1
0.559,-0.813,0.191,7.446,-11.047,4.517,1
0.559,-0.819,0.202,6.165,-10.559,4.517,1
0.563,-0.837,0.209,4.883,-10.498,4.028,1
0.576,-0.845,0.2,2.136,-10.437,3.967,1
0.602,-0.835,0.202,-1.892,-10.986,4.089,1
0.565,-0.806,0.206,-3.906,-11.047,5.127,1
0.563,-0.789,0.205,-2.502,-10.071,4.211,1
0.572,-0.785,0.207,0,-8.545,2.686,1
0.571,-0.797,0.199,2.747,-6.775,2.075,1
0.58,-0.82,0.199,4.639,-5.249,1.953,1
0.583,-0.839,0.208,4.639,-4.272,2.014,1
0.583,-0.846,0.208,2.747,-4.272,2.075,1
0.576,-0.837,0.202,0.549,-5.066,2.014,1
0.571,-0.822,0.198,-0.366,-5.737,2.686,1
0.565,-0.813,0.2,0.244,-5.615,2.991,1
0.556,-0.814,0.189,1.709,-5.188,3.235,1
0.564,-0.823,0.177,2.808,-3.906,3.296,1
0.565,-0.836,0.175,3.235,-2.747,3.418,1
0.566,-0.849,0.179,3.174,-2.136,3.662,1
0.568,-0.856,0.179,2.197,-2.075,4.089,1
0.568,-0.855,0.18,0.732,-1.953,4.272,1
0.569,-0.853,0.191,-1.16,-2.075,4.395,1
0.565,-0.84,0.205,-2.441,-2.197,4.272,1
0.565,-0.831,0.209,-2.93,-2.014,3.662,1
0.568,-0.829,0.205,-2.563,-1.465,3.052,1
0.567,-0.82,0.198,-2.441,-0.671,2.808,1
0.569,-0.819,0.19,-2.991,0.061,2.136,1
0.574,-0.82,0.184,-3.662,0.488,1.709,1
0.579,-0.812,0.184,-4.456,0.488,1.282,1
0.578,-0.807,0.192,-4.578,0.244,0.305,1
0.579,-0.808,0.202,-4.761,0.061,-0.671,1
0.583,-0.81,0.202,-5.005,0.061,-1.404,1
0.583,-0.803,0.203,-5.554,-0.061,-1.953,1
0.589,-0.809,0.2,-5.432,-0.183,-2.258,1
0.592,-0.811,0.196,-4.761,-0.427,-2.502,1
0.59,-0.809,0.185,-4.211,-0.671,-2.808,1
0.592,-0.806,0.176,-4.089,-0.793,-2.808,1
0.595,-0.812,0.172,-3.174,-1.038,-2.808,1
0.595,-0.817,0.163,-2.197,-1.465,-2.747,1
0.597,-0.824,0.154,-2.075,-1.587,-2.625,1
0.6,-0.829,0.152,-2.869,-1.953,-2.014,1
0.602,-0.821,0.158,-4.517,-2.563,-1.465,1
0.6,-0.818,0.167,-5.066,-3.113,-0.732,1
0.599,-0.812,0.172,-4.639,-3.54,0,1
0.599,-0.814,0.173,-3.723,-4.028,0.61,1
0.599,-0.818,0.177,-3.052,-4.211,1.465,1
0.594,-0.812,0.183,-4.211,-4.761,2.014,1
0.594,-0.814,0.193,-4.761,-5.188,2.747,1
0.589,-0.81,0.2,-4.517,-5.371,3.235,1
0.588,-0.804,0.202,-4.211,-5.188,4.028,1
0.587,-0.799,0.201,-3.967,-4.517,4.578,1
0.436,-1.274,0.27,63.171,-22.827,-10.986,1
0.394,-1.268,0.219,55.481,-26.123,-1.831,1
0.376,-1.323,0.208,51.086,-31.25,3.967,1
0.444,-1.329,0.255,40.039,-33.325,6.714,1
0.475,-1.237,0.31,32.837,-36.804,12.939,1
0.447,-1.195,0.353,32.349,-41.016,16.357,1
0.439,-1.184,0.359,36.011,-42.358,19.714,1
0.44,-1.15,0.343,43.518,-41.565,24.658,1
0.444,-1.126,0.342,52.124,-39.429,29.602,1
0.452,-1.11,0.333,62.744,-36.377,34.729,1
0.467,-1.136,0.344,72.693,-33.02,39.673,1
0.492,-1.155,0.351,79.407,-29.724,42.786,1
0.516,-1.164,0.365,80.383,-28.687,44.495,1
0.527,-1.17,0.391,77.454,-29.602,45.654,1
0.516,-1.135,0.398,73.425,-31.189,46.448,1
0.491,-1.116,0.397,69.275,-32.532,48.096,1
0.476,-1.098,0.381,67.017,-32.227,49.622,1
0.468,-1.094,0.351,63.354,-32.166,52.612,1
0.471,-1.088,0.328,57.434,-33.264,55.237,1
0.457,-1.05,0.308,51.025,-34.607,57.129,1
0.438,-1.006,0.301,47.363,-35.217,59.021,1
0.423,-0.996,0.31,44.8,-35.889,59.326,1
0.42,-0.976,0.318,41.87,-36.621,58.594,1
0.402,-0.921,0.31,39.917,-36.804,57.068,1
0.388,-0.886,0.309,40.588,-35.767,55.481,1
0.383,-0.861,0.289,44.8,-33.752,54.382,1
0.395,-0.873,0.261,49.072,-31.677,53.894,1
0.405,-0.878,0.226,51.392,-30.396,52.002,1
0.419,-0.869,0.204,51.147,-29.907,50.598,1
0.422,-0.864,0.197,48.645,-30.457,49.133,1
0.42,-0.845,0.202,47.668,-30.579,48.645,1
0.411,-0.833,0.205,48.401,-30.029,47.18,1
0.403,-0.827,0.215,50.72,-28.015,45.898,1
0.401,-0.818,0.214,53.65,-25.085,44.556,1
0.419,-0.808,0.204,56.519,-22.278,43.274,1
0.427,-0.831,0.184,58.289,-22.095,42.419,1
0.437,-0.84,0.15,59.57,-22.156,41.992,1
0.424,-0.823,0.131,61.401,-21.545,42.419,1
0.433,-0.835,0.123,63.721,-20.447,43.762,1
0.435,-0.817,0.111,65.918,-19.897,44.8,1
0.436,-0.831,0.11,66.284,-19.409,45.288,1
0.448,-0.835,0.109,64.27,-19.714,45.471,1
0.45,-0.849,0.118,59.326,-20.874,45.837,1
0.453,-0.855,0.114,53.162,-22.583,45.898,1
0.444,-0.837,0.113,46.326,-24.414,45.227,1
0.438,-0.816,0.101,39.49,-26.123,44.373,1
0.444,-0.804,0.094,32.288,-28.32,43.762,1
0.449,-0.795,0.079,27.527,-30.151,43.091,1
0.46,-0.785,0.074,23.621,-31.86,42.053,1
0.453,-0.779,0.076,21.057,-33.508,40.161,1
0.459,-0.77,0.079,19.714,-34.119,38.513,1
0.451,-0.75,0.07,18.982,-33.936,38.33,1
0.46,-0.759,0.09,18.738,-33.691,38.147,1
0.463,-0.751,0.113,18.127,-33.691,35.645,1
0.46,-0.757,0.129,17.822,-33.203,33.936,1
0.467,-0.762,0.144,17.273,-32.349,33.081,1
0.464,-0.769,0.156,15.808,-31.921,33.142,1
0.464,-0.77,0.158,13.184,-32.043,32.959,1
0.467,-0.763,0.162,10.559,-31.982,31.25,1
0.473,-0.74,0.157,8.362,-31.86,29.236,1
0.475,-0.737,0.136,7.629,-31.555,28.076,1
0.479,-0.733,0.12,6.287,-30.945,26.978,1
0.492,-0.73,0.103,5.371,-29.846,25.208,1
0.505,-0.727,0.103,5.249,-28.87,23.071,1
0.513,-0.727,0.108,5.127,-27.954,20.935,1
0.523,-0.729,0.122,5.798,-26.672,18.799,1
0.527,-0.752,0.133,5.859,-25.208,17.151,1
0.532,-0.754,0.148,3.54,-23.621,15.625,1
0.545,-0.748,0.159,1.892,-22.4,14.343,1
0.564,-0.736,0.173,2.075,-21.545,12.817,1
0.527,-0.749,0.182,4.089,-20.874,12.512,1
0.558,-0.749,0.182,5.859,-19.592,10.62,1
0.584,-0.764,0.17,6.042,-18.433,8.972,1
