aX,aY,aZ,gX,gY,gZ
0.427,-0.388,0.841,-80.872,14.648,58.35
0.399,-0.359,0.842,-82.153,13.672,59.143
0.395,-0.339,0.83,-79.895,13.55,60.12
0.403,-0.334,0.82,-76.721,13.733,61.157
0.392,-0.313,0.822,-74.28,13.245,62.073
0.391,-0.295,0.811,-73.425,12.695,62.439
0.386,-0.274,0.796,-72.266,13.306,62.317
0.392,-0.256,0.797,-68.237,14.099,61.646
0.395,-0.245,0.789,-63.66,14.16,61.523
0.396,-0.209,0.778,-61.218,14.221,61.401
0.401,-0.192,0.788,-61.401,14.038,61.401
0.395,-0.174,0.804,-62.866,13.367,60.669
0.39,-0.156,0.811,-62.683,13.55,59.631
0.406,-0.138,0.799,-60.547,13.794,58.228
0.414,-0.148,0.788,-58.228,13.245,57.556
0.385,-0.162,0.772,-55.237,12.39,58.228
0.385,-0.136,0.763,-53.223,12.329,58.35
0.391,-0.111,0.773,-52.185,12.878,57.678
0.393,-0.105,0.771,-51.025,13.184,56.946
0.403,-0.1,0.766,-49.5,13.306,56.458
0.417,-0.077,0.755,-49.133,13.184,55.542
0.421,-0.066,0.743,-49.561,12.573,53.894
0.409,-0.042,0.739,-50.049,11.169,52.49
0.4,-0.01,0.729,-48.95,9.827,51.025
0.394,-0.009,0.733,-48.706,9.094,49.255
0.382,-0.017,0.744,-49.438,8.789,47.974
0.391,-0.006,0.733,-48.279,9.033,46.936
0.406,-0.005,0.739,-46.021,9.583,45.837
0.412,0.004,0.749,-44.006,10.254,45.105
0.423,0.029,0.76,-41.687,10.437,44.067
0.43,0.052,0.772,-40.405,10.803,42.48
0.431,0.082,0.779,-38.879,10.742,40.344
0.423,0.083,0.786,-37.292,10.559,38.696
0.418,0.093,0.786,-35.339,11.047,37.109
0.423,0.101,0.777,-33.875,11.536,35.156
0.432,0.087,0.786,-33.447,12.207,33.447
0.435,0.094,0.783,-33.386,12.817,31.86
0.45,0.101,0.772,-32.532,12.878,29.846
0.47,0.115,0.774,-31.311,12.756,28.076
0.472,0.142,0.764,-27.649,12.756,26.855
0.48,0.159,0.747,-24.597,12.451,25.33
0.48,0.176,0.746,-24.902,11.597,23.987
0.474,0.188,0.751,-25.208,10.315,22.949
0.484,0.182,0.757,-24.109,9.46,21.729
0.5,0.182,0.768,-23.071,8.789,20.935
0.509,0.171,0.772,-22.766,7.812,19.775
0.512,0.175,0.787,-24.109,5.737,18.494
0.512,0.201,0.776,-24.902,3.662,16.846
0.509,0.197,0.775,-25.208,1.465,14.832
0.506,0.215,0.768,-26.794,0.244,12.878
0.502,0.23,0.756,-27.832,-1.282,10.986
0.498,0.254,0.74,-28.564,-2.563,9.338
0.486,0.263,0.75,-30.09,-4.089,7.446
0.471,0.249,0.774,-32.471,-5.798,6.042
0.473,0.243,0.787,-33.264,-6.775,5.249
0.478,0.233,0.797,-31.86,-7.263,4.395
0.479,0.218,0.806,-29.419,-6.897,3.967
0.487,0.207,0.804,-25.818,-5.676,3.54
0.5,0.209,0.797,-21.79,-4.333,3.235
0.507,0.218,0.806,-17.395,-2.93,2.747
0.505,0.231,0.825,-12.634,-1.587,1.892
0.511,0.235,0.833,-8.667,-0.244,1.038
0.506,0.242,0.826,-3.174,0.854,0.61
0.505,0.218,0.813,3.357,2.319,0.549
0.518,0.206,0.811,7.263,4.333,0.916
0.526,0.2,0.803,8.606,4.944,1.831
0.532,0.201,0.811,7.446,4.517,2.625
0.531,0.208,0.819,5.432,3.418,2.747
0.529,0.184,0.812,3.235,2.319,3.235
0.537,0.16,0.819,-0.061,1.953,3.967
0.538,0.172,0.821,-4.028,1.099,4.883
0.534,0.182,0.821,-7.141,-0.122,5.432
0.531,0.202,0.834,-9.949,-0.854,5.371
0.525,0.226,0.837,-12.085,-1.099,5.371
0.527,0.224,0.831,-13.062,-0.793,5.371
0.532,0.236,0.814,-12.878,-0.244,5.31
0.526,0.243,0.801,-11.658,-0.488,5.249
0.516,0.249,0.802,-10.132,-0.488,5.127
0.516,0.278,0.797,-7.996,-0.122,4.944
0.512,0.289,0.807,-4.517,0.122,4.272
0.502,0.277,0.811,-2.319,0.61,3.845
0.504,0.274,0.809,-0.916,0.977,3.296
0.509,0.256,0.812,-0.916,1.465,2.563
0.508,0.245,0.809,-1.587,1.282,2.136
0.509,0.235,0.809,-2.136,0.854,1.709
0.513,0.222,0.811,-2.441,1.038,1.16
0.515,0.215,0.809,-2.075,1.16,1.343
0.517,0.217,0.806,-2.014,1.038,1.526
0.517,0.216,0.804,-2.319,1.16,1.587
0.517,0.217,0.806,-2.136,1.038,1.587
0.524,0.22,0.794,-1.831,1.16,1.709
0.519,0.223,0.797,-2.319,0.793,1.831
0.508,0.233,0.807,-3.296,0.549,2.014
0.505,0.224,0.821,-3.967,0.61,2.014
0.508,0.223,0.822,-4.028,1.099,2.075
0.513,0.22,0.821,-2.991,1.526,1.953
0.514,0.217,0.824,-2.075,2.197,2.38
0.519,0.222,0.822,-1.648,2.563,2.502
0.526,0.217,0.81,-1.16,2.747,2.686
0.527,0.22,0.804,-1.221,2.563,3.052
0.522,0.227,0.793,-0.854,2.014,3.113
0.515,0.226,0.788,-0.549,1.343,3.174
0.511,0.233,0.786,-1.465,0.793,3.174
0.506,0.24,0.791,-2.563,0.488,3.113
0.509,0.238,0.793,-3.906,0.061,3.052
0.382,-0.74,0.903,-52.734,-1.953,26.489
0.4,-0.728,0.923,-58.899,-3.235,28.381
0.402,-0.687,0.937,-62.073,-3.54,29.175
0.408,-0.647,0.958,-61.035,-2.136,31.006
0.408,-0.603,0.962,-57.007,-0.793,32.837
0.412,-0.55,0.968,-49.622,1.587,34.668
0.406,-0.574,0.959,-42.48,3.723,38.208
0.398,-0.58,0.959,-38.574,7.324,40.649
0.407,-0.56,0.96,-34.302,11.23,42.664
0.42,-0.547,0.952,-29.541,13.794,44.556
0.416,-0.534,0.941,-27.527,15.259,46.387
0.421,-0.54,0.949,-29.846,17.7,47.119
0.435,-0.549,0.958,-34.668,20.203,47.729
0.45,-0.553,0.956,-40.283,20.874,47.791
0.467,-0.576,0.951,-47.424,20.081,47.729
0.46,-0.543,0.946,-53.894,17.7,49.988
0.453,-0.564,0.946,-58.411,17.517,55.237
0.469,-0.541,0.939,-63.538,17.395,59.509
0.472,-0.5,0.936,-70.679,15.686,63.354
0.459,-0.474,0.915,-77.332,12.939,65.186
0.455,-0.436,0.884,-81.726,10.62,65.369
0.446,-0.405,0.862,-84.412,8.972,65.002
